Codigo,Descricao,Data_Inicio,Data_Fim,Tipo_Ato_Ini,Numero_Ato_Ini,Ano_Ato_Ini
85,"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios.",01/04/2022,31/12/9999,Res Camex,272,2021
85.01,"Motores e geradores, elétricos, exceto os grupos eletrogêneos.",01/04/2022,31/12/9999,Res Camex,272,2021
8501.10,"- Motores de potência não superior a 37,5 W",01/04/2022,31/12/9999,Res Camex,272,2021
8501.10.1,De corrente contínua,01/04/2022,31/12/9999,Res Camex,272,2021
8501.10.11,"De passo não superior a 1,8°",01/04/2022,31/12/9999,Res Camex,272,2021
8501.10.19,Outros,01/04/2022,31/12/9999,Res Camex,272,2021
8501.10.2,De corrente alternada,01/04/2022,31/12/9999,Res Camex,272,2021
8501.10.21,Síncronos,01/04/2022,31/12/9999,Res Camex,272,2021
8501.10.29,Outros,01/04/2022,31/12/9999,Res Camex,272,2021
8501.10.30,Universais,01/04/2022,31/12/9999,Res Camex,272,2021
8501.20.00,"- Motores universais de potência superior a 37,5 W",01/04/2022,31/12/9999,Res Camex,272,2021
8501.3,"- Outros motores de corrente contínua; geradores de corrente contínua, exceto os geradores fotovoltaicos:",01/04/2022,31/12/9999,Res Camex,272,2021
8501.31,-- De potência não superior a 750 W,01/04/2022,31/12/9999,Res Camex,272,2021
8501.31.10,Motores,01/04/2022,31/12/9999,Res Camex,272,2021
8501.31.20,Geradores,01/04/2022,31/12/9999,Res Camex,272,2021
8501.32,"-- De potência superior a 750 W, mas não superior a 75 kW",01/04/2022,31/12/9999,Res Camex,272,2021
8501.32.10,Motores,01/04/2022,31/12/9999,Res Camex,272,2021
8501.32.20,Geradores,01/04/2022,31/12/9999,Res Camex,272,2021
8501.33,"-- De potência superior a 75 kW, mas não superior a 375 kW",01/04/2022,31/12/9999,Res Camex,272,2021
8501.33.10,Motores,01/04/2022,31/12/9999,Res Camex,272,2021
8501.33.20,Geradores,01/04/2022,31/12/9999,Res Camex,272,2021
8501.34,-- De potência superior a 375 kW,01/04/2022,31/12/9999,Res Camex,272,2021
8501.34.1,Motores,01/04/2022,31/12/9999,Res Camex,272,2021
8501.34.11,De potência não superior a 3.000 kW,01/04/2022,31/12/9999,Res Camex,272,2021
8501.34.19,Outros,01/04/2022,31/12/9999,Res Camex,272,2021
8501.34.20,Geradores,01/04/2022,31/12/9999,Res Camex,272,2021
8501.40,"- Outros motores de corrente alternada, monofásicos",01/04/2022,31/12/9999,Res Camex,272,2021
8501.40.1,De potência não superior a 15 kW,01/04/2022,31/12/9999,Res Camex,272,2021
8501.40.11,Síncronos,01/04/2022,31/12/9999,Res Camex,272,2021
8501.40.19,Outros,01/04/2022,31/12/9999,Res Camex,272,2021
8501.40.2,De potência superior a 15 kW,01/04/2022,31/12/9999,Res Camex,272,2021
8501.40.21,Síncronos,01/04/2022,31/12/9999,Res Camex,272,2021
8501.40.29,Outros,01/04/2022,31/12/9999,Res Camex,272,2021
8501.5,"- Outros motores de corrente alternada, polifásicos:",01/04/2022,31/12/9999,Res Camex,272,2021
8501.51,-- De potência não superior a 750 W,01/04/2022,31/12/9999,Res Camex,272,2021
8501.51.10,"Trifásicos, com rotor de gaiola",01/04/2022,31/12/9999,Res Camex,272,2021
8501.51.20,"Trifásicos, com rotor de anéis",01/04/2022,31/12/9999,Res Camex,272,2021
8501.51.90,Outros,01/04/2022,31/12/9999,Res Camex,272,2021
8501.52,"-- De potência superior a 750 W, mas não superior a 75 kW",01/04/2022,31/12/9999,Res Camex,272,2021
8501.52.10,"Trifásicos, com rotor de gaiola",01/04/2022,31/12/9999,Res Camex,272,2021
8501.52.20,"Trifásicos, com rotor de anéis",01/04/2022,31/12/9999,Res Camex,272,2021
8501.52.90,Outros,01/04/2022,31/12/9999,Res Camex,272,2021
8501.53,-- De potência superior a 75 kW,01/04/2022,31/12/9999,Res Camex,272,2021
8501.53.10,"Trifásicos, de potência não superior a 7.500 kW",01/04/2022,31/12/9999,Res Camex,272,2021
8501.53.20,"Trifásicos, de potência superior a 7.500 kW, mas não superior a 30.000 kW",01/04/2022,31/12/9999,Res Camex,272,2021
8501.53.30,"Trifásicos, de potência superior a 30.000 kW, mas não superior a 50.000 kW",01/04/2022,31/12/9999,Res Camex,272,2021
8501.53.90,Outros,01/04/2022,31/12/9999,Res Camex,272,2021
8501.6,"- Geradores de corrente alternada (alternadores), exceto os geradores fotovoltaicos:",01/04/2022,31/12/9999,Res Camex,272,2021
8501.61.00,-- De potência não superior a 75 kVA,01/04/2022,31/12/9999,Res Camex,272,2021
8501.62.00,"-- De potência superior a 75 kVA, mas não superior a 375 kVA",01/04/2022,31/12/9999,Res Camex,272,2021
8501.63.00,"-- De potência superior a 375 kVA, mas não superior a 750 kVA",01/04/2022,31/12/9999,Res Camex,272,2021
8501.64.00,-- De potência superior a 750 kVA,01/04/2022,31/12/9999,Res Camex,272,2021
8501.7,- Geradores fotovoltaicos de corrente contínua:,01/04/2022,31/12/9999,Res Camex,272,2021
8501.71.00,-- De potência não superior a 50 W,01/04/2022,31/12/9999,Res Camex,272,2021
8501.72,-- De potência superior a 50 W,01/04/2022,31/12/9999,Res Camex,272,2021
8501.72.10,De potência não superior a 75 kW,01/04/2022,31/12/9999,Res Camex,272,2021
8501.72.90,Outros,01/04/2022,31/12/9999,Res Camex,272,2021
8501.80.00,- Geradores fotovoltaicos de corrente alternada,01/04/2022,31/12/9999,Res Camex,272,2021
85.02,Grupos eletrogêneos e conversores rotativos elétricos.,01/04/2022,31/12/9999,Res Camex,272,2021
8502.1,"- Grupos eletrogêneos de motor de pistão, de ignição por compressão (motores diesel ou semidiesel):",01/04/2022,31/12/9999,Res Camex,272,2021
8502.11,-- De potência não superior a 75 kVA,01/04/2022,31/12/9999,Res Camex,272,2021
8502.11.10,De corrente alternada,01/04/2022,31/12/9999,Res Camex,272,2021
8502.11.90,Outros,01/04/2022,31/12/9999,Res Camex,272,2021
8502.12,"-- De potência superior a 75 kVA, mas não superior a 375 kVA",01/04/2022,31/12/9999,Res Camex,272,2021
8502.12.10,De corrente alternada,01/04/2022,31/12/9999,Res Camex,272,2021
8502.12.90,Outros,01/04/2022,31/12/9999,Res Camex,272,2021
8502.13,-- De potência superior a 375 kVA,01/04/2022,31/12/9999,Res Camex,272,2021
8502.13.1,De corrente alternada,01/04/2022,31/12/9999,Res Camex,272,2021
8502.13.11,De potência não superior a 430 kVA,01/04/2022,31/12/9999,Res Camex,272,2021
8502.13.19,Outros,01/04/2022,31/12/9999,Res Camex,272,2021
8502.13.90,Outros,01/04/2022,31/12/9999,Res Camex,272,2021
8502.20,"- Grupos eletrogêneos de motor de pistão, de ignição por centelha (faísca) (motor de explosão)",01/04/2022,31/12/9999,Res Camex,272,2021
8502.20.1,De corrente alternada,01/04/2022,31/12/9999,Res Camex,272,2021
8502.20.11,De potência não superior a 210 kVA,01/04/2022,31/12/9999,Res Camex,272,2021
8502.20.19,Outros,01/04/2022,31/12/9999,Res Camex,272,2021
8502.20.90,Outros,01/04/2022,31/12/9999,Res Camex,272,2021
8502.3,- Outros grupos eletrogêneos:,01/04/2022,31/12/9999,Res Camex,272,2021
8502.31.00,-- De energia eólica,01/04/2022,31/12/9999,Res Camex,272,2021
8502.39.00,-- Outros,01/04/2022,31/12/9999,Res Camex,272,2021
8502.40,- Conversores rotativos elétricos,01/04/2022,31/12/9999,Res Camex,272,2021
8502.40.10,De frequência,01/04/2022,31/12/9999,Res Camex,272,2021
8502.40.90,Outros,01/04/2022,31/12/9999,Res Camex,272,2021
8503.00,Partes reconhecíveis como exclusiva ou principalmente destinadas às máquinas das posições 85.01 ou 85.02.,01/04/2022,31/12/9999,Res Camex,272,2021
8503.00.10,"De motores ou geradores das subposições 8501.10, 8501.20, 8501.31, 8501.32 ou do item 8501.40.1",01/04/2022,31/12/9999,Res Camex,272,2021
8503.00.90,Outras,01/04/2022,31/12/9999,Res Camex,272,2021
85.04,"Transformadores elétricos, conversores elétricos estáticos (retificadores, por exemplo), bobinas de reatância e de autoindução.",01/04/2022,31/12/9999,Res Camex,272,2021
8504.10.00,- Reatores (Balastros*) para lâmpadas ou tubos de descarga,01/04/2022,31/12/9999,Res Camex,272,2021
8504.2,- Transformadores de dielétrico líquido:,01/04/2022,31/12/9999,Res Camex,272,2021
8504.21.00,-- De potência não superior a 650 kVA,01/04/2022,31/12/9999,Res Camex,272,2021
8504.22.00,"-- De potência superior a 650 kVA, mas não superior a 10.000 kVA",01/04/2022,31/12/9999,Res Camex,272,2021
8504.23.00,-- De potência superior a 10.000 kVA,01/04/2022,31/12/9999,Res Camex,272,2021
8504.3,- Outros transformadores:,01/04/2022,31/12/9999,Res Camex,272,2021
8504.31,-- De potência não superior a 1 kVA,01/04/2022,31/12/9999,Res Camex,272,2021
8504.31.1,Para frequências inferiores ou iguais a 60 Hz,01/04/2022,31/12/9999,Res Camex,272,2021
8504.31.11,Transformadores de corrente,01/04/2022,31/12/9999,Res Camex,272,2021
8504.31.19,Outros,01/04/2022,31/12/9999,Res Camex,272,2021
8504.31.9,Outros,01/04/2022,31/12/9999,Res Camex,272,2021
8504.31.91,"Transformador de saída horizontal (<i>fly back</i>), com tensão de saída superior a 18 kV e frequência de varredura horizontal igual ou superior a 32 kHz",01/04/2022,31/12/9999,Res Camex,272,2021
8504.31.92,"Transformadores de FI, de detecção, de relação, de linearidade ou de foco",01/04/2022,31/12/9999,Res Camex,272,2021
8504.31.93,"Outros, de largura e comprimento não superior a 50 mm e altura não superior a 25 mm, próprios para montagem por inserção (PTH - <i>Pin Through Hole</i>) ou montagem em superfície (SMD - <i>Surface Mounted Device</i>)",01/04/2024,31/12/9999,Res Camex,547,2023
8504.31.99,Outros,01/04/2022,31/12/9999,Res Camex,272,2021
8504.32,"-- De potência superior a 1 kVA, mas não superior a 16 kVA",01/04/2022,31/12/9999,Res Camex,272,2021
8504.32.1,De potência não superior a 3 kVA,01/04/2022,31/12/9999,Res Camex,272,2021
8504.32.11,Para frequências inferiores ou iguais a 60 Hz,01/04/2022,31/12/9999,Res Camex,272,2021
8504.32.19,Outros,01/04/2022,31/12/9999,Res Camex,272,2021
8504.32.2,De potência superior a 3 kVA,01/04/2022,31/12/9999,Res Camex,272,2021
8504.32.21,Para frequências inferiores ou iguais a 60 Hz,01/04/2022,31/12/9999,Res Camex,272,2021
8504.32.29,Outros,01/04/2022,31/12/9999,Res Camex,272,2021
8504.33.00,"-- De potência superior a 16 kVA, mas não superior a 500 kVA",01/04/2022,31/12/9999,Res Camex,272,2021
8504.34.00,-- De potência superior a 500 kVA,01/04/2022,31/12/9999,Res Camex,272,2021
8504.40,- Conversores estáticos,01/04/2022,31/12/9999,Res Camex,272,2021
8504.40.10,Carregadores de acumuladores,01/04/2022,31/12/9999,Res Camex,272,2021
8504.40.2,"Retificadores, exceto carregadores de acumuladores",01/04/2022,31/12/9999,Res Camex,272,2021
8504.40.21,De cristal (semicondutores),01/04/2022,31/12/9999,Res Camex,272,2021
8504.40.22,Eletrolíticos,01/04/2022,31/12/9999,Res Camex,272,2021
8504.40.29,Outros,01/04/2022,31/12/9999,Res Camex,272,2021
8504.40.30,Conversores de corrente contínua,01/04/2022,31/12/9999,Res Camex,272,2021
8504.40.40,Equipamento de alimentação ininterrupta de energia (UPS ou <i>no break</i>),01/04/2022,31/12/9999,Res Camex,272,2021
8504.40.50,"Conversores eletrônicos de frequência, para variação de velocidade de motores elétricos",01/04/2022,31/12/9999,Res Camex,272,2021
8504.40.60,Aparelhos eletrônicos de alimentação de energia do tipo utilizado para iluminação de emergência,01/04/2022,31/12/9999,Res Camex,272,2021
8504.40.90,Outros,01/04/2022,31/12/9999,Res Camex,272,2021
8504.50,- Outras bobinas de reatância e de autoindução,01/07/2024,31/12/9999,Res Camex,561,2024
8504.50.10,"De largura e comprimento não superior a 45 mm e altura não superior a 30 mm, próprias para montagem por inserção (PTH - <i>Pin Through Hole</i>) ou montagem em superfície (SMD - <i>Surface Mounted Device</i>)",01/07/2024,31/12/9999,Res Camex,561,2024
8504.50.90,Outras,01/07/2024,31/12/9999,Res Camex,561,2024
8504.90,- Partes,01/04/2022,31/12/9999,Res Camex,272,2021
8504.90.10,Núcleos de pó ferromagnético,01/04/2022,31/12/9999,Res Camex,272,2021
8504.90.20,De reatores para lâmpadas ou tubos de descarga,01/04/2022,31/12/9999,Res Camex,272,2021
8504.90.30,"De transformadores das subposições 8504.21, 8504.22, 8504.23, 8504.33 ou 8504.34",01/04/2022,31/12/9999,Res Camex,272,2021
8504.90.40,"De conversores estáticos, exceto de carregadores de acumuladores e de retificadores",01/04/2022,31/12/9999,Res Camex,272,2021
8504.90.90,Outras,01/04/2022,31/12/9999,Res Camex,272,2021
85.05,"Eletroímãs; ímãs permanentes e artigos destinados a tornarem-se ímãs permanentes após magnetização; placas, mandris e dispositivos semelhantes, magnéticos ou eletromagnéticos, de fixação; acoplamentos, embreagens, variadores de velocidade e freios (travões), eletromagnéticos; cabeças de elevação eletromagnéticas.",01/04/2022,31/12/9999,Res Camex,272,2021
8505.1,- Ímãs permanentes e artigos destinados a tornarem-se ímãs permanentes após magnetização:,01/04/2022,31/12/9999,Res Camex,272,2021
8505.11.00,-- De metal,01/04/2022,31/12/9999,Res Camex,272,2021
8505.19,-- Outros,01/04/2022,31/12/9999,Res Camex,272,2021
8505.19.10,De ferrita (cerâmicos),01/04/2022,31/12/9999,Res Camex,272,2021
8505.19.90,Outros,01/04/2022,31/12/9999,Res Camex,272,2021
8505.20,"- Acoplamentos, embreagens, variadores de velocidade e freios (travões), eletromagnéticos",01/04/2022,31/12/9999,Res Camex,272,2021
8505.20.10,"Freios (travões) que atuam por corrente de Foucault, do tipo utilizado nos veículos das posições 87.01 a 87.05",01/04/2022,31/12/9999,Res Camex,272,2021
8505.20.90,Outros,01/04/2022,31/12/9999,Res Camex,272,2021
8505.90,"- Outros, incluindo as partes",01/04/2022,31/12/9999,Res Camex,272,2021
8505.90.1,Eletroímãs,01/04/2024,31/12/9999,Res Camex,547,2023
8505.90.11,Do tipo utilizado em aparelhos de diagnóstico de imagem por ressonância magnética,01/04/2024,31/12/9999,Res Camex,547,2023
8505.90.19,Outros,01/04/2024,31/12/9999,Res Camex,547,2023
8505.90.80,Outros,01/04/2022,31/12/9999,Res Camex,272,2021
8505.90.90,Partes,01/04/2022,31/12/9999,Res Camex,272,2021
85.06,"Pilhas e baterias de pilhas, elétricas.",01/04/2022,31/12/9999,Res Camex,272,2021
8506.10,- De dióxido de manganês,01/04/2022,31/12/9999,Res Camex,272,2021
8506.10.1,Pilhas alcalinas,01/04/2022,31/12/9999,Res Camex,272,2021
8506.10.11,"De tensão igual a 1,5 V, cilíndricas, do tipo LR14 (C)",01/04/2022,31/12/9999,Res Camex,272,2021
8506.10.12,"De tensão igual a 1,5 V, cilíndricas, do tipo LR20 (D)",01/04/2022,31/12/9999,Res Camex,272,2021
8506.10.19,Outras,01/04/2022,31/12/9999,Res Camex,272,2021
8506.10.20,Outras pilhas,01/04/2022,31/12/9999,Res Camex,272,2021
8506.10.3,Baterias de pilhas,01/04/2022,31/12/9999,Res Camex,272,2021
8506.10.31,"Alcalinas, de tensão igual a 9 V",01/04/2022,31/12/9999,Res Camex,272,2021
8506.10.32,"Alcalinas, de tensão igual a 12 V",01/04/2022,31/12/9999,Res Camex,272,2021
8506.10.39,Outras,01/04/2022,31/12/9999,Res Camex,272,2021
8506.30,- De óxido de mercúrio,01/04/2022,31/12/9999,Res Camex,272,2021
8506.30.10,Com volume exterior não superior a 300 cm<sup>3</sup>,01/04/2022,31/12/9999,Res Camex,272,2021
8506.30.90,Outras,01/04/2022,31/12/9999,Res Camex,272,2021
8506.40,- De óxido de prata,01/04/2022,31/12/9999,Res Camex,272,2021
8506.40.10,Com volume exterior não superior a 300 cm<sup>3</sup>,01/04/2022,31/12/9999,Res Camex,272,2021
8506.40.90,Outras,01/04/2022,31/12/9999,Res Camex,272,2021
8506.50,- De lítio,01/04/2022,31/12/9999,Res Camex,272,2021
8506.50.10,Com volume exterior não superior a 300 cm<sup>3</sup>,01/04/2022,31/12/9999,Res Camex,272,2021
8506.50.90,Outras,01/04/2022,31/12/9999,Res Camex,272,2021
8506.60,- De ar-zinco,01/04/2022,31/12/9999,Res Camex,272,2021
8506.60.10,Com volume exterior não superior a 300 cm<sup>3</sup>,01/04/2022,31/12/9999,Res Camex,272,2021
8506.60.90,Outras,01/04/2022,31/12/9999,Res Camex,272,2021
8506.80,- Outras pilhas e baterias de pilhas,01/04/2022,31/12/9999,Res Camex,272,2021
8506.80.10,Com volume exterior não superior a 300 cm<sup>3</sup>,01/04/2022,31/12/9999,Res Camex,272,2021
8506.80.90,Outras,01/04/2022,31/12/9999,Res Camex,272,2021
8506.90.00,- Partes,01/04/2022,31/12/9999,Res Camex,272,2021
85.07,"Acumuladores elétricos e seus separadores, mesmo de forma quadrada ou retangular.",01/04/2022,31/12/9999,Res Camex,272,2021
8507.10,"- De chumbo, do tipo utilizado para o arranque dos motores de pistão",01/04/2022,31/12/9999,Res Camex,272,2021
8507.10.10,De capacidade inferior ou igual a 20 Ah e tensão inferior ou igual a 12 V,01/04/2022,31/12/9999,Res Camex,272,2021
8507.10.90,Outros,01/04/2022,31/12/9999,Res Camex,272,2021
8507.20,- Outros acumuladores de chumbo,01/04/2022,31/12/9999,Res Camex,272,2021
8507.20.10,De peso inferior ou igual a 1.000 kg,01/04/2022,31/12/9999,Res Camex,272,2021
8507.20.90,Outros,01/04/2022,31/12/9999,Res Camex,272,2021
8507.30,- De níquel-cádmio,01/04/2022,31/12/9999,Res Camex,272,2021
8507.30.1,De peso inferior ou igual a 2.500 kg,01/04/2022,31/12/9999,Res Camex,272,2021
8507.30.11,De capacidade inferior ou igual a 15 Ah,01/04/2022,31/12/9999,Res Camex,272,2021
8507.30.19,Outros,01/04/2022,31/12/9999,Res Camex,272,2021
8507.30.90,Outros,01/04/2022,31/12/9999,Res Camex,272,2021
8507.50,- De níquel-hidreto metálico,01/04/2022,31/12/9999,Res Camex,272,2021
8507.50.10,"De tensão igual a 1,2 V, cilíndricos do tipo HR6 (AA)",01/04/2022,31/12/9999,Res Camex,272,2021
8507.50.20,"De tensão igual a 1,2 V, cilíndricos do tipo HR03 (AAA)",01/04/2022,31/12/9999,Res Camex,272,2021
8507.50.90,Outros,01/04/2022,31/12/9999,Res Camex,272,2021
8507.60.00,- De íon de lítio,01/04/2022,31/12/9999,Res Camex,272,2021
8507.80.00,- Outros acumuladores,01/04/2022,31/12/9999,Res Camex,272,2021
8507.90,- Partes,01/04/2022,31/12/9999,Res Camex,272,2021
8507.90.10,Separadores,01/04/2022,31/12/9999,Res Camex,272,2021
8507.90.20,"Recipientes de plástico, suas tampas e tampões",01/04/2022,31/12/9999,Res Camex,272,2021
8507.90.90,Outras,01/04/2022,31/12/9999,Res Camex,272,2021
85.08,Aspiradores.,01/04/2022,31/12/9999,Res Camex,272,2021
8508.1,- Com motor elétrico incorporado:,01/04/2022,31/12/9999,Res Camex,272,2021
8508.11.00,-- De potência não superior a 1.500 W e cujo volume do reservatório não exceda 20 l,01/04/2022,31/12/9999,Res Camex,272,2021
8508.19.00,-- Outros,01/04/2022,31/12/9999,Res Camex,272,2021
8508.60.00,- Outros aspiradores,01/04/2022,31/12/9999,Res Camex,272,2021
8508.70.00,- Partes,01/04/2022,31/12/9999,Res Camex,272,2021
85.09,"Aparelhos eletromecânicos com motor elétrico incorporado, de uso doméstico, exceto os aspiradores da posição 85.08.",01/04/2022,31/12/9999,Res Camex,272,2021
8509.40,- Trituradores (moedores) e misturadores de alimentos; espremedores de fruta ou de produtos hortícolas,01/04/2022,31/12/9999,Res Camex,272,2021
8509.40.10,Liquidificadores,01/04/2022,31/12/9999,Res Camex,272,2021
8509.40.20,Batedeiras,01/04/2022,31/12/9999,Res Camex,272,2021
8509.40.30,Moedores de carne,01/04/2022,31/12/9999,Res Camex,272,2021
8509.40.40,Extratores centrífugos de sucos,01/04/2022,31/12/9999,Res Camex,272,2021
8509.40.50,"Aparelhos de funções múltiplas, providos de acessórios intercambiáveis, para processar alimentos",01/04/2022,31/12/9999,Res Camex,272,2021
8509.40.90,Outros,01/04/2022,31/12/9999,Res Camex,272,2021
8509.80,- Outros aparelhos,01/04/2022,31/12/9999,Res Camex,272,2021
8509.80.10,Enceradeiras de pisos,01/04/2022,31/12/9999,Res Camex,272,2021
8509.80.90,Outros,01/04/2022,31/12/9999,Res Camex,272,2021
8509.90.00,- Partes,01/04/2022,31/12/9999,Res Camex,272,2021
85.10,"Aparelhos ou máquinas de barbear, máquinas de cortar o cabelo ou de tosquiar e aparelhos de depilar, com motor elétrico incorporado.",01/04/2022,31/12/9999,Res Camex,272,2021
8510.10.00,- Aparelhos ou máquinas de barbear,01/04/2022,31/12/9999,Res Camex,272,2021
8510.20.00,- Máquinas de cortar o cabelo ou de tosquiar,01/04/2022,31/12/9999,Res Camex,272,2021
8510.30.00,- Aparelhos de depilar,01/04/2022,31/12/9999,Res Camex,272,2021
8510.90,- Partes,01/04/2022,31/12/9999,Res Camex,272,2021
8510.90.1,De aparelhos ou máquinas de barbear,01/04/2022,31/12/9999,Res Camex,272,2021
8510.90.11,Lâminas,01/04/2022,31/12/9999,Res Camex,272,2021
8510.90.19,Outras,01/04/2022,31/12/9999,Res Camex,272,2021
8510.90.20,Pentes e contrapentes para máquinas de tosquiar,01/04/2022,31/12/9999,Res Camex,272,2021
8510.90.90,Outras,01/04/2022,31/12/9999,Res Camex,272,2021
85.11,"Aparelhos e dispositivos elétricos de ignição ou de arranque para motores de ignição por centelha (faísca) ou por compressão (por exemplo, magnetos, dínamos-magnetos, bobinas de ignição, velas de ignição ou de aquecimento, motores de arranque); geradores (por exemplo, dínamos e alternadores) e conjuntores-disjuntores utilizados com estes motores.",01/04/2022,31/12/9999,Res Camex,272,2021
8511.10.00,- Velas de ignição,01/04/2022,31/12/9999,Res Camex,272,2021
8511.20,- Magnetos; dínamos-magnetos; volantes magnéticos,01/04/2022,31/12/9999,Res Camex,272,2021
8511.20.10,Magnetos,01/04/2022,31/12/9999,Res Camex,272,2021
8511.20.90,Outros,01/04/2022,31/12/9999,Res Camex,272,2021
8511.30,- Distribuidores; bobinas de ignição,01/04/2022,31/12/9999,Res Camex,272,2021
8511.30.10,Distribuidores,01/04/2022,31/12/9999,Res Camex,272,2021
8511.30.20,Bobinas de ignição,01/04/2022,31/12/9999,Res Camex,272,2021
8511.40.00,"- Motores de arranque, mesmo funcionando como geradores",01/04/2022,31/12/9999,Res Camex,272,2021
8511.50,- Outros geradores,01/04/2022,31/12/9999,Res Camex,272,2021
8511.50.10,Dínamos e alternadores,01/04/2022,31/12/9999,Res Camex,272,2021
8511.50.90,Outros,01/04/2022,31/12/9999,Res Camex,272,2021
8511.80,- Outros aparelhos e dispositivos,01/04/2022,31/12/9999,Res Camex,272,2021
8511.80.10,Velas de aquecimento,01/04/2022,31/12/9999,Res Camex,272,2021
8511.80.20,Reguladores de voltagem (conjuntores-disjuntores),01/04/2022,31/12/9999,Res Camex,272,2021
8511.80.30,Ignição eletrônica digital,01/04/2022,31/12/9999,Res Camex,272,2021
8511.80.90,Outros,01/04/2022,31/12/9999,Res Camex,272,2021
8511.90.00,- Partes,01/04/2022,31/12/9999,Res Camex,272,2021
85.12,"Aparelhos elétricos de iluminação ou de sinalização (exceto os da posição 85.39), limpadores de para-brisas, degeladores e desembaçadores elétricos, do tipo utilizado em ciclos ou automóveis.",01/04/2022,31/12/9999,Res Camex,272,2021
8512.10.00,- Aparelhos de iluminação ou de sinalização visual do tipo utilizado em bicicletas,01/04/2022,31/12/9999,Res Camex,272,2021
8512.20,- Outros aparelhos de iluminação ou de sinalização visual,01/04/2022,31/12/9999,Res Camex,272,2021
8512.20.1,Aparelhos de iluminação,01/04/2022,31/12/9999,Res Camex,272,2021
8512.20.11,Faróis,01/04/2022,31/12/9999,Res Camex,272,2021
8512.20.19,Outros,01/04/2022,31/12/9999,Res Camex,272,2021
8512.20.2,Aparelhos de sinalização visual,01/04/2022,31/12/9999,Res Camex,272,2021
8512.20.21,Luzes fixas,01/04/2022,31/12/9999,Res Camex,272,2021
8512.20.22,Luzes indicadoras de manobras,01/04/2022,31/12/9999,Res Camex,272,2021
8512.20.23,Caixas de luzes combinadas,01/04/2022,31/12/9999,Res Camex,272,2021
8512.20.29,Outros,01/04/2022,31/12/9999,Res Camex,272,2021
8512.30.00,- Aparelhos de sinalização acústica,01/04/2022,31/12/9999,Res Camex,272,2021
8512.40,"- Limpadores de para-brisas, degeladores e desembaçadores",01/04/2022,31/12/9999,Res Camex,272,2021
8512.40.10,Limpadores de para-brisas,01/04/2022,31/12/9999,Res Camex,272,2021
8512.40.20,Degeladores e desembaçadores,01/04/2022,31/12/9999,Res Camex,272,2021
8512.90.00,- Partes,01/04/2022,31/12/9999,Res Camex,272,2021
85.13,"Lanternas elétricas portáteis concebidas para funcionar por meio de sua própria fonte de energia (por exemplo, de pilhas, de acumuladores, de magnetos), excluindo os aparelhos de iluminação da posição 85.12.",01/04/2022,31/12/9999,Res Camex,272,2021
8513.10,- Lanternas,01/04/2022,31/12/9999,Res Camex,272,2021
8513.10.10,Manuais,01/04/2022,31/12/9999,Res Camex,272,2021
8513.10.90,Outras,01/04/2022,31/12/9999,Res Camex,272,2021
8513.90.00,- Partes,01/04/2022,31/12/9999,Res Camex,272,2021
85.14,"Fornos elétricos industriais ou de laboratório, incluindo os que funcionam por indução ou por perdas dielétricas; outros aparelhos industriais ou de laboratório para tratamento térmico de matérias por indução ou por perdas dielétricas.",01/04/2022,31/12/9999,Res Camex,272,2021
